ear,blink_rate,smile_ratio,brow_furrow_score,movement_code,tilt_code,emotion,fatigue_score,Predicted_Label
0.269,48,71.02,144.93,1,0,3,2.41,Relaxed
0.269,48,7040596.566,142.58,1,0,4,2.41,Relaxed
0.255,48,72.18,141.79,1,0,3,2.42,Relaxed
0.274,48,7236711.961,141.6,1,0,4,2.4,Relaxed
0.284,48,7040596.566,141.79,1,0,3,2.39,Relaxed
0.277,48,71.196,141.6,1,0,3,2.39,Relaxed
0.279,48,7040596.566,142.58,1,0,3,2.39,Relaxed
0.278,48,7119691.005,141.6,1,0,3,2.39,Relaxed
0.246,48,7119691.005,141.6,1,0,4,2.41,Relaxed
0.266,48,7236711.961,141.23,1,0,3,2.39,Relaxed
0.268,48,71.196,140.43,1,0,3,2.39,Relaxed
0.264,48,7102112.362,140.43,1,0,3,2.39,Relaxed
0.267,48,72.366,141.6,1,0,3,2.39,Relaxed
0.251,48,7236711.961,140.62,1,0,3,1.98,Relaxed
0.224,48,7040596.566,140.43,1,0,4,2.0,Relaxed
0.242,48,75.504,141.41,1,0,4,1.99,Relaxed
0.242,48,69.426,141.41,1,0,4,1.99,Relaxed
0.243,48,7138627.319,141.41,1,0,4,1.98,Relaxed
0.092,48,7138627.319,141.41,1,0,3,2.1,Relaxed
0.026,48,7102112.362,143.03,1,0,3,2.14,Relaxed
0.209,48,7021395.873,141.41,1,0,3,2.01,Relaxed
0.216,48,6942621.983,140.43,1,0,3,2.0,Relaxed
0.241,54,7334848.328,140.43,1,0,4,2.21,Relaxed
0.244,54,73.348,141.6,1,0,4,2.21,Relaxed
0.241,54,73.348,141.23,1,0,3,2.21,Relaxed
0.244,54,7316419.89,142.58,1,0,3,2.21,Relaxed
0.246,54,71.386,141.41,1,0,4,2.2,Relaxed
0.255,54,7138627.319,141.41,1,0,4,2.19,Relaxed
0.262,54,74.33,142.39,1,0,3,2.19,Relaxed
0.255,54,7433034.374,141.41,1,0,3,2.19,Relaxed
0.256,54,6905070.601,141.41,1,0,3,2.19,Relaxed
0.264,54,7021395.873,141.41,1,0,3,2.18,Relaxed
0.246,54,7316419.89,142.39,1,0,3,2.2,Relaxed
0.246,54,7218032.973,142.39,1,0,3,2.19,Relaxed
0.232,54,72.366,141.41,1,0,3,2.2,Relaxed
0.232,54,71.386,141.41,1,0,3,2.2,Relaxed
0.234,54,74.33,141.41,1,0,3,2.2,Relaxed
0.23,54,7334848.328,141.41,1,0,3,2.2,Relaxed
0.25,54,7316419.89,141.41,1,0,4,2.19,Relaxed
0.239,54,7218032.973,140.43,1,0,4,2.19,Relaxed
0.234,54,73.348,141.6,1,0,3,2.19,Relaxed
0.237,54,7138627.319,141.6,1,0,3,2.19,Relaxed
0.237,54,7138627.319,141.41,1,0,3,2.19,Relaxed
0.238,54,7138627.319,141.23,1,0,3,2.19,Relaxed
0.231,54,7316419.89,142.39,1,0,3,2.19,Relaxed
0.228,54,73.163,142.21,1,0,3,2.19,Relaxed
0.235,54,71.196,142.39,1,0,3,2.19,Relaxed
0.248,54,7256721.023,142.58,1,0,3,2.17,Relaxed
0.241,54,72.566,142.58,1,0,3,2.18,Relaxed
0.24,54,7138627.319,143.38,1,0,3,2.18,Relaxed
0.253,54,7138627.319,142.39,1,0,3,2.17,Relaxed
0.241,54,72.18,143.38,1,0,3,2.17,Relaxed
0.241,54,72.18,143.38,1,0,3,2.17,Relaxed
0.243,54,7334848.328,141.6,1,0,3,2.17,Relaxed
0.242,54,73.163,142.58,1,0,3,2.17,Relaxed
0.242,54,73.348,142.39,1,0,3,2.17,Relaxed
0.25,54,7218032.973,141.6,1,0,3,2.16,Relaxed
0.246,54,7218032.973,141.41,1,0,3,2.16,Relaxed
0.235,54,7021395.873,143.38,1,0,3,2.17,Relaxed
0.231,54,7334848.328,142.39,1,0,3,2.17,Relaxed
0.256,54,7334848.328,141.6,1,0,4,2.15,Relaxed
0.252,54,7433034.374,142.58,1,0,4,2.15,Relaxed
0.23,54,73.348,143.38,1,0,3,2.17,Relaxed
0.231,54,7218032.973,142.58,1,0,3,2.17,Relaxed
0.242,54,7119691.005,142.58,1,0,3,2.16,Relaxed
0.238,54,72.18,143.2,1,0,3,2.16,Relaxed
0.238,54,71.196,143.38,1,0,3,2.16,Relaxed
0.245,54,7433034.374,143.38,1,0,3,2.15,Relaxed
0.231,54,7433034.374,143.38,1,0,3,2.16,Relaxed
0.248,54,72.18,143.38,1,0,3,2.15,Relaxed
0.256,54,72.366,142.39,1,0,3,2.14,Relaxed
0.245,54,7334848.328,142.39,1,0,3,2.15,Relaxed
0.242,54,7334848.328,142.58,1,0,3,2.15,Relaxed
0.243,54,7334848.328,142.58,1,0,3,2.14,Relaxed
0.24,54,7236711.961,142.58,1,0,3,2.15,Relaxed
0.243,54,7236711.961,142.58,1,0,3,2.14,Relaxed
0.236,54,7433034.374,142.58,1,0,3,2.15,Relaxed
0.243,54,7236711.961,142.58,1,0,3,2.14,Relaxed
0.243,54,7354590.403,142.58,1,0,3,2.14,Relaxed
0.248,54,72.366,143.38,1,0,3,2.13,Relaxed
0.217,54,73.348,142.58,1,0,3,2.16,Relaxed
0.244,54,7021395.873,142.58,1,0,3,2.13,Relaxed
0.251,54,70.213,143.56,1,0,3,2.13,Relaxed
0.251,54,71.386,143.38,1,0,3,2.13,Relaxed
0.253,54,71.386,143.56,1,0,3,2.12,Relaxed
0.247,54,71.386,143.56,1,0,3,2.13,Relaxed
0.241,54,73.163,143.56,1,0,3,2.13,Relaxed
0.245,54,7433034.374,142.58,1,0,3,2.13,Relaxed
0.246,54,72.366,143.38,1,0,3,2.12,Relaxed
0.251,54,7236711.961,142.39,1,0,3,2.12,Relaxed
0.24,54,7433034.374,143.56,1,0,3,2.13,Relaxed
0.256,54,7334848.328,143.38,1,0,3,2.11,Relaxed
0.252,54,74.33,143.56,1,0,3,2.11,Relaxed
0.245,54,7334848.328,143.56,1,0,3,2.12,Relaxed
0.252,54,7334848.328,143.38,1,0,3,2.11,Relaxed
0.255,54,7433034.374,143.38,1,0,3,2.11,Relaxed
0.242,54,7119691.005,143.56,1,0,3,2.12,Relaxed
0.242,54,7040596.566,142.58,1,0,3,2.12,Relaxed
0.251,54,7040596.566,142.58,1,0,3,2.11,Relaxed
0.251,54,7138627.319,142.58,1,0,3,2.11,Relaxed
0.251,54,7236711.961,142.58,1,0,3,2.11,Relaxed
0.253,54,7550496.672,142.77,1,0,3,2.1,Relaxed
0.253,54,7531268.154,141.79,1,0,3,2.1,Relaxed
0.253,54,7550496.672,141.79,1,0,3,2.1,Relaxed
0.241,54,74.148,142.39,1,0,4,2.11,Relaxed
0.248,54,74.33,142.39,1,0,4,2.1,Relaxed
0.106,54,7334848.328,142.39,1,0,3,2.21,Relaxed
0.1,54,7218032.973,142.39,1,0,3,2.21,Relaxed
0.057,54,70.405,143.2,1,0,3,2.24,Relaxed
0.046,54,71.196,142.58,1,0,3,2.25,Relaxed
0.041,54,73.163,142.39,1,0,3,2.25,Relaxed
0.104,54,6923149.572,142.21,1,0,4,2.2,Relaxed
0.119,54,68.249,142.21,1,0,4,2.19,Relaxed
0.12,54,68.249,142.39,1,0,4,2.19,Relaxed
0.209,54,7256721.023,142.58,1,0,4,2.12,Relaxed
0.209,54,7256721.023,142.58,1,0,4,2.12,Relaxed
0.231,60,7334848.328,141.41,1,0,3,2.32,Relaxed
0.239,60,7433034.374,141.41,1,0,3,2.32,Relaxed
0.245,60,7334848.328,142.39,1,0,3,2.31,Relaxed
0.241,60,7218032.973,141.41,1,0,3,2.31,Relaxed
0.25,60,7334848.328,143.38,1,0,3,2.3,Relaxed
0.25,60,7236711.961,142.39,1,0,3,2.3,Relaxed
0.245,60,7236711.961,142.39,1,0,3,2.3,Relaxed
0.259,60,72.366,142.21,1,0,3,2.29,Relaxed
